time;stolen;load
1674214270;4720;0.09
1674214330;4722;0.03
1674214390;4726;0.01
1674214450;4727;0.03
1674214510;4729;0.01
1674214570;4731;0.04
1674214630;4733;0.01
1674214690;4735;0.04
1674214750;4736;0.01
1674214810;4742;0.00
1674214870;4744;0.04
1674214930;4745;0.01
1674214990;4747;0.05
1674215050;4750;0.02
1674215110;4751;0.06
1674215170;4751;0.02
1674215230;4752;0.06
1674215290;4754;0.10
1674215350;4756;0.04
1674215411;4757;0.07
1674215471;4758;0.02
1674215531;4759;0.07
1674215591;4760;0.02
1674215651;4762;0.07
1674215711;4764;0.03
1674215771;4765;0.08
1674215831;4767;0.03
1674215891;4768;0.09
1674215951;4770;0.03
1674216011;4774;0.05
1674216071;4776;0.02
1674216131;4778;0.05
1674216191;4785;0.02
1674216251;4787;0.05
1674216311;4791;0.02
1674216371;4794;0.06
1674216431;4798;0.02
1674216491;4800;0.06
1674216551;4806;0.02
1674216611;4808;0.01
1674216671;4812;0.00
1674216731;4814;0.00
1674216791;4816;0.00
1674216851;4818;0.00
1674216911;4821;0.00
1674216971;4822;0.00
1674217031;4825;0.00
1674217091;4831;0.00
1674217151;4833;0.10
1674217211;4835;0.11
1674217271;4836;0.04
1674217331;4837;0.01
1674217391;4839;0.04
1674217451;4840;0.01
1674217511;4841;0.04
1674217571;4844;0.01
1674217631;4848;0.00
1674217691;4850;0.00
1674217751;4854;0.00
1674217811;4857;0.00
1674217871;4859;0.00
1674217931;4860;0.00
1674217991;4861;0.00
1674218051;4862;0.00
1674218111;4863;0.00
1674218171;4867;0.00
1674218231;4870;0.06
1674218291;4871;0.02
1674218352;4874;0.07
1674218412;4875;0.02
1674218472;4876;0.07
1674218532;4877;0.02
1674218592;4878;0.01
1674218652;4880;0.07
1674218712;4882;0.03
1674218772;4883;0.09
1674218832;4884;0.03
1674218892;4886;0.01
1674218952;4888;0.03
1674219012;4889;0.07
1674219072;4892;0.08
1674219132;4894;0.03
1674219192;4897;0.07
1674219252;4902;0.02
1674219312;4904;0.01
1674219372;4907;0.00
1674219432;4910;0.00
1674219492;4913;0.00
1674219552;4916;0.00
1674219612;4920;0.05
1674219672;4921;0.05
1674219732;4922;0.06
1674219792;4924;0.02
1674219852;4925;0.06
1674219912;4927;0.02
1674219972;4929;0.01
1674220032;4930;0.00
1674220092;4931;0.00
1674220152;4933;0.00
1674220212;4934;0.07
1674220272;4935;0.14
1674220332;4936;0.05
1674220392;4938;0.02
1674220452;4939;0.00
1674220512;4940;0.00
1674220572;4941;0.03
1674220632;4943;0.01
1674220692;4944;0.04
1674220752;4945;0.01
1674220812;4946;0.00
1674220872;4947;0.00
1674220932;4949;0.00
1674220992;4950;0.06
1674221052;4951;0.02
1674221112;4951;0.00
1674221172;4952;0.00
1674221232;4953;0.00
1674221293;4956;0.00
1674221353;4956;0.00
1674221413;4957;0.00
1674221473;4958;0.07
1674221533;4960;0.02
1674221593;4961;0.08
1674221653;4962;0.03
1674221713;4963;0.08
1674221773;4964;0.03
1674221833;4965;0.09
1674221893;4966;0.03
1674221953;4968;0.01
